method,stage,year,count
deep_learning,fabrication,2020,10
deep_learning,fabrication,2021,12
deep_learning,fabrication,2022,12
deep_learning,fabrication,2023,16
deep_learning,fabrication,2024,13
deep_learning,fabrication,2025,17
deep_learning,fabrication,2026,12
deep_learning,in_field,2016,1
deep_learning,in_field,2017,2
deep_learning,in_field,2018,3
deep_learning,in_field,2019,8
deep_learning,in_field,2020,6
deep_learning,in_field,2021,14
deep_learning,in_field,2022,7
deep_learning,in_field,2023,8
deep_learning,in_field,2024,14
deep_learning,in_field,2025,15
deep_learning,in_field,2026,13
deep_learning,packaging,2015,1
deep_learning,packaging,2016,1
deep_learning,packaging,2017,1
deep_learning,packaging,2018,3
deep_learning,packaging,2019,1
deep_learning,packaging,2020,4
deep_learning,packaging,2021,3
deep_learning,packaging,2022,4
deep_learning,packaging,2023,6
deep_learning,packaging,2024,9
deep_learning,packaging,2025,18
deep_learning,packaging,2026,9
deep_learning,transit,2019,2
deep_learning,transit,2020,1
deep_learning,transit,2021,5
deep_learning,transit,2022,1
deep_learning,transit,2023,3
deep_learning,transit,2025,3
deep_learning,transit,2026,2
evolutionary_optimization,design,2015,1
evolutionary_optimization,design,2016,3
evolutionary_optimization,design,2017,1
evolutionary_optimization,design,2018,1
evolutionary_optimization,design,2019,1
evolutionary_optimization,design,2020,3
evolutionary_optimization,design,2021,1
evolutionary_optimization,design,2022,4
evolutionary_optimization,design,2023,5
evolutionary_optimization,design,2025,7
evolutionary_optimization,design,2026,2
evolutionary_optimization,fabrication,2016,1
evolutionary_optimization,fabrication,2017,1
evolutionary_optimization,fabrication,2018,1
evolutionary_optimization,fabrication,2024,3
evolutionary_optimization,in_field,2015,1
evolutionary_optimization,in_field,2016,2
evolutionary_optimization,in_field,2018,2
evolutionary_optimization,in_field,2020,1
evolutionary_optimization,in_field,2022,4
evolutionary_optimization,in_field,2024,2
evolutionary_optimization,in_field,2025,4
evolutionary_optimization,packaging,2015,1
evolutionary_optimization,packaging,2016,1
evolutionary_optimization,packaging,2018,1
evolutionary_optimization,packaging,2022,1
evolutionary_optimization,packaging,2023,1
evolutionary_optimization,packaging,2025,2
evolutionary_optimization,transit,2016,2
evolutionary_optimization,transit,2017,1
evolutionary_optimization,transit,2024,1
general_ml_signals,design,2016,3
general_ml_signals,design,2017,2
general_ml_signals,design,2018,3
general_ml_signals,design,2019,6
general_ml_signals,design,2020,3
general_ml_signals,design,2021,3
general_ml_signals,design,2022,4
general_ml_signals,design,2023,7
general_ml_signals,design,2024,7
general_ml_signals,design,2025,16
general_ml_signals,design,2026,8
general_ml_signals,fabrication,2016,2
general_ml_signals,fabrication,2017,1
general_ml_signals,fabrication,2018,2
general_ml_signals,fabrication,2019,4
general_ml_signals,fabrication,2020,1
general_ml_signals,fabrication,2021,2
general_ml_signals,fabrication,2022,3
general_ml_signals,fabrication,2023,8
general_ml_signals,fabrication,2024,6
general_ml_signals,fabrication,2025,10
general_ml_signals,fabrication,2026,3
general_ml_signals,in_field,2016,1
general_ml_signals,in_field,2017,2
general_ml_signals,in_field,2019,3
general_ml_signals,in_field,2020,1
general_ml_signals,in_field,2021,2
general_ml_signals,in_field,2022,1
general_ml_signals,in_field,2023,6
general_ml_signals,in_field,2024,1
general_ml_signals,in_field,2025,6
general_ml_signals,in_field,2026,6
general_ml_signals,packaging,2018,1
general_ml_signals,packaging,2019,1
general_ml_signals,packaging,2020,1
general_ml_signals,packaging,2021,1
general_ml_signals,packaging,2022,1
general_ml_signals,packaging,2023,1
general_ml_signals,packaging,2024,2
general_ml_signals,packaging,2025,8
general_ml_signals,packaging,2026,4
general_ml_signals,transit,2019,1
general_ml_signals,transit,2022,2
generative_adversarial,design,2015,3
generative_adversarial,design,2016,1
generative_adversarial,design,2017,4
generative_adversarial,design,2018,5
generative_adversarial,design,2019,6
generative_adversarial,design,2020,4
generative_adversarial,design,2021,3
generative_adversarial,design,2022,3
generative_adversarial,design,2023,3
generative_adversarial,design,2024,2
generative_adversarial,design,2025,8
generative_adversarial,design,2026,6
generative_adversarial,fabrication,2015,1
generative_adversarial,fabrication,2016,3
generative_adversarial,fabrication,2018,1
generative_adversarial,fabrication,2019,6
generative_adversarial,fabrication,2020,7
generative_adversarial,fabrication,2021,7
generative_adversarial,fabrication,2022,2
generative_adversarial,fabrication,2023,4
generative_adversarial,fabrication,2024,10
generative_adversarial,fabrication,2025,7
generative_adversarial,fabrication,2026,5
generative_adversarial,in_field,2015,2
generative_adversarial,in_field,2016,3
generative_adversarial,in_field,2017,7
generative_adversarial,in_field,2018,4
generative_adversarial,in_field,2019,5
generative_adversarial,in_field,2020,9
generative_adversarial,in_field,2021,5
generative_adversarial,in_field,2022,3
generative_adversarial,in_field,2023,9
generative_adversarial,in_field,2024,6
generative_adversarial,in_field,2025,14
generative_adversarial,in_field,2026,13
generative_adversarial,packaging,2016,1
generative_adversarial,packaging,2017,2
generative_adversarial,packaging,2018,1
generative_adversarial,packaging,2019,1
generative_adversarial,packaging,2020,3
generative_adversarial,packaging,2021,1
generative_adversarial,packaging,2022,1
generative_adversarial,packaging,2023,2
generative_adversarial,packaging,2024,4
generative_adversarial,packaging,2025,6
generative_adversarial,packaging,2026,2
graph_neural_networks,design,2019,1
graph_neural_networks,design,2020,4
graph_neural_networks,design,2021,5
graph_neural_networks,design,2022,13
graph_neural_networks,design,2023,12
graph_neural_networks,design,2024,6
graph_neural_networks,design,2025,9
graph_neural_networks,design,2026,9
graph_neural_networks,fabrication,2021,1
graph_neural_networks,fabrication,2023,3
graph_neural_networks,fabrication,2024,3
graph_neural_networks,fabrication,2025,2
graph_neural_networks,fabrication,2026,4
graph_neural_networks,in_field,2021,2
graph_neural_networks,in_field,2023,1
graph_neural_networks,in_field,2024,5
graph_neural_networks,in_field,2025,5
graph_neural_networks,in_field,2026,1
graph_neural_networks,packaging,2020,1
graph_neural_networks,packaging,2022,1
graph_neural_networks,packaging,2023,2
graph_neural_networks,packaging,2024,2
graph_neural_networks,packaging,2025,5
graph_neural_networks,packaging,2026,2
graph_neural_networks,transit,2021,4
graph_neural_networks,transit,2022,2
graph_neural_networks,transit,2023,1
graph_neural_networks,transit,2024,1
graph_neural_networks,transit,2025,5
graph_neural_networks,transit,2026,2
llm_foundation_models,design,2020,1
llm_foundation_models,design,2023,2
llm_foundation_models,design,2024,13
llm_foundation_models,design,2025,52
llm_foundation_models,design,2026,22
llm_foundation_models,fabrication,2024,3
llm_foundation_models,fabrication,2025,15
llm_foundation_models,fabrication,2026,9
llm_foundation_models,in_field,2022,1
llm_foundation_models,in_field,2024,2
llm_foundation_models,in_field,2025,10
llm_foundation_models,in_field,2026,4
llm_foundation_models,packaging,2021,1
llm_foundation_models,packaging,2022,1
llm_foundation_models,packaging,2023,2
llm_foundation_models,packaging,2025,11
llm_foundation_models,packaging,2026,7
llm_foundation_models,transit,2026,3
reinforcement_learning,design,2020,2
reinforcement_learning,design,2021,7
reinforcement_learning,design,2022,6
reinforcement_learning,design,2023,10
reinforcement_learning,design,2024,10
reinforcement_learning,design,2025,13
reinforcement_learning,design,2026,16
reinforcement_learning,fabrication,2015,1
reinforcement_learning,fabrication,2019,2
reinforcement_learning,fabrication,2020,1
reinforcement_learning,fabrication,2021,2
reinforcement_learning,fabrication,2022,3
reinforcement_learning,fabrication,2023,3
reinforcement_learning,fabrication,2024,8
reinforcement_learning,fabrication,2025,2
reinforcement_learning,fabrication,2026,2
reinforcement_learning,in_field,2019,2
reinforcement_learning,in_field,2020,1
reinforcement_learning,in_field,2021,2
reinforcement_learning,in_field,2022,1
reinforcement_learning,in_field,2023,1
reinforcement_learning,in_field,2024,1
reinforcement_learning,in_field,2025,3
reinforcement_learning,in_field,2026,2
reinforcement_learning,packaging,2015,1
reinforcement_learning,packaging,2017,1
reinforcement_learning,packaging,2018,2
reinforcement_learning,packaging,2021,2
reinforcement_learning,packaging,2023,1
reinforcement_learning,packaging,2024,5
reinforcement_learning,packaging,2025,3
reinforcement_learning,packaging,2026,1
reinforcement_learning,transit,2021,2
reinforcement_learning,transit,2024,1
reinforcement_learning,transit,2025,1
symbolic_reasoning,design,2015,4
symbolic_reasoning,design,2016,6
symbolic_reasoning,design,2017,2
symbolic_reasoning,design,2018,4
symbolic_reasoning,design,2019,1
symbolic_reasoning,design,2020,1
symbolic_reasoning,design,2021,5
symbolic_reasoning,design,2022,1
symbolic_reasoning,design,2024,3
symbolic_reasoning,design,2025,1
symbolic_reasoning,design,2026,2
symbolic_reasoning,fabrication,2023,1
symbolic_reasoning,in_field,2015,2
symbolic_reasoning,in_field,2022,3
symbolic_reasoning,packaging,2023,1
symbolic_reasoning,packaging,2025,2
symbolic_reasoning,transit,2018,1
symbolic_reasoning,transit,2025,1
transfer_learning,design,2018,1
transfer_learning,design,2020,2
transfer_learning,design,2021,2
transfer_learning,design,2022,1
transfer_learning,design,2023,1
transfer_learning,design,2024,1
transfer_learning,design,2025,2
transfer_learning,design,2026,1
transfer_learning,fabrication,2022,1
transfer_learning,fabrication,2023,1
transfer_learning,fabrication,2024,1
transfer_learning,fabrication,2025,2
transfer_learning,in_field,2021,1
transfer_learning,in_field,2022,1
transfer_learning,in_field,2025,3
transfer_learning,packaging,2018,1
transfer_learning,packaging,2020,1
transfer_learning,packaging,2022,2
unspecified_ai,design,2015,284
unspecified_ai,design,2016,322
unspecified_ai,design,2017,287
unspecified_ai,design,2018,318
unspecified_ai,design,2019,280
unspecified_ai,design,2020,296
unspecified_ai,design,2021,277
unspecified_ai,design,2022,308
unspecified_ai,design,2023,384
unspecified_ai,design,2024,376
unspecified_ai,design,2025,573
unspecified_ai,design,2026,284
unspecified_ai,disposal,2015,3
unspecified_ai,disposal,2016,4
unspecified_ai,disposal,2017,5
unspecified_ai,disposal,2018,2
unspecified_ai,disposal,2019,3
unspecified_ai,disposal,2020,1
unspecified_ai,disposal,2021,1
unspecified_ai,disposal,2022,2
unspecified_ai,disposal,2023,1
unspecified_ai,disposal,2024,3
unspecified_ai,disposal,2025,5
unspecified_ai,disposal,2026,2
unspecified_ai,fabrication,2015,330
unspecified_ai,fabrication,2016,372
unspecified_ai,fabrication,2017,230
unspecified_ai,fabrication,2018,289
unspecified_ai,fabrication,2019,253
unspecified_ai,fabrication,2020,255
unspecified_ai,fabrication,2021,202
unspecified_ai,fabrication,2022,258
unspecified_ai,fabrication,2023,267
unspecified_ai,fabrication,2024,310
unspecified_ai,fabrication,2025,383
unspecified_ai,fabrication,2026,232
unspecified_ai,in_field,2015,325
unspecified_ai,in_field,2016,327
unspecified_ai,in_field,2017,337
unspecified_ai,in_field,2018,375
unspecified_ai,in_field,2019,308
unspecified_ai,in_field,2020,287
unspecified_ai,in_field,2021,270
unspecified_ai,in_field,2022,271
unspecified_ai,in_field,2023,296
unspecified_ai,in_field,2024,269
unspecified_ai,in_field,2025,398
unspecified_ai,in_field,2026,276
unspecified_ai,packaging,2015,111
unspecified_ai,packaging,2016,118
unspecified_ai,packaging,2017,101
unspecified_ai,packaging,2018,97
unspecified_ai,packaging,2019,96
unspecified_ai,packaging,2020,89
unspecified_ai,packaging,2021,97
unspecified_ai,packaging,2022,128
unspecified_ai,packaging,2023,138
unspecified_ai,packaging,2024,128
unspecified_ai,packaging,2025,214
unspecified_ai,packaging,2026,160
unspecified_ai,transit,2015,22
unspecified_ai,transit,2016,27
unspecified_ai,transit,2017,13
unspecified_ai,transit,2018,38
unspecified_ai,transit,2019,23
unspecified_ai,transit,2020,39
unspecified_ai,transit,2021,17
unspecified_ai,transit,2022,27
unspecified_ai,transit,2023,28
unspecified_ai,transit,2024,23
unspecified_ai,transit,2025,32
unspecified_ai,transit,2026,8
